1,Telthusbakken with Gamle Aker Church,1880,Location unknown,," carton, oil",12 x 18,1.jpg
2,Øvre Foss,1880,"Munch Museum, Oslo, Norway",," carton, oil",12 x 18,2.jpg
3,Small Lake with Boat,1880,"Munch Museum, Oslo, Norway",," carton, oil",12 x 18,3.jpg
4,Horse and Wagon in front of Farm Buildings,1880,Location unknown,,"carton (?), oil",12 x 18,4.jpg
5,Autumn Work in the Field,1880,Location unknown,,"carton (?), oil",15 x 20,5.jpg
6,Landscape with Woman Walking by a Lake,1880,Location unknown,," carton, oil","19,5 x 14",6.jpg
7,Landscape with Trees and Water,1880,Location unknown,," carton, oil","14 x 17,5",7.jpg
8,Autumn in the Forest,1880,"Flaten Art Museum. St. Olaf College, Northfield, Minnesota, USA. Gift from Brunhild Telie Sather",," carton, oil","13,5 x 20,5",8.jpg
9,Horse and Cart on a Country Road,1880,Private Collection,,"paper pasted on carton, oil",19 x 15,9.jpg
10,Still Life with Pipe and Bibles,1880,Private Collection,,"paper, oil",13 x 21,10.jpg
11,View from Fossveien,1880–81,"Lillehammer Art Museum, Norway. Oscar Johannessen's collection",," carton, oil",22 x 17,11.jpg
12,View from Fossveien,1881,"Munch Museum, Oslo, Norway",," carton, oil","15,5 x 12",12.jpg
13,Winter Landscape with House and Red Sky,1881,Location unknown,," carton, oil","14 x 17,5",13.jpg
14,Potted Plant on the Window-Sill,1881–82,"Munch Museum, Oslo, Norway",,"unprimed carton, oil","57 x 38,5",14.jpg
15,Potted Plant,1881–82,"Munch Museum, Oslo, Norway",,"paper, oil",27 x 12,15.jpg
16,The Living-Room of the Misses Munch in Pilestredet 61,1881,"Munch Museum, Oslo, Norway",," carton, oil","21 x 26,5",16.jpg
17,From Vestre Aker,1881,"National Gallery, Oslo, Norway",,"paper, oil","20,5 x 30,5",17.jpg
18,Hakloa in Maridalen,1881,Location unknown,," carton, oil","30,5 x 46",18.jpg
19,Maridalsveien in Nydalen,1881,Location unknown,," carton, oil","29,5 x 36,5",19.jpg
20,Houses in Maridalen,1881,Private collection,," carton, oil",22 x 31,20.jpg
21,From Maridalen,1881,"Munch Museum, Oslo, Norway",,"unprimed carton, oil","22 x 27,5",21.jpg
22,Akerselva,1881,Private Collection,," carton, oil","23 x 31,5",22.jpg
23,Landscape with Woman and Child,1881,Private Collection,," carton, oil","21,5 x 30,5",23.jpg
24,Landscape with a Small House and Two People,1881,Private Collection,," carton, oil","17 x 14,5",24.jpg
25,Landscape with Lake and Forest,1881,Private Collection,," carton, oil",17 x 14,25.jpg
26,From Bunnefjorden,1881,"Munch Museum, Oslo, Norway",,"unprimed carton, oil","17,5 x 26,5",26.jpg
27,From Sandvika,1881,"Flaten Art Museum. St. Olaf College, Northfield, Minnesota, USA. Estate of Richard N. Telie",," carton, oil",21 x 27,27.jpg
28,Man Rowing towards Land,1881,Private Collection,," carton, oil",29 x 36,28.jpg
29,Bay with Boat and House,1881,"Collectión Carmen Thyssen-Bornemisza en depósito en el Museo Thyssen-Bornemisza, Madrid, Spain",," carton, oil",37 x 51,29.jpg
30,Man and Woman in Boat,1881,"Private Collection, Stockholm",,"unprimed carton, oil","17,5 x 25,5",30.jpg
31,Fisherman by the Water,1881,Location unknown,," carton, oil","18 x 24,5",31.jpg
32,Christian Munch on the Couch,1881,"Munch Museum, Oslo, Norway",,"unprimed paper, oil","21,5 x 18",32.jpg
33,Christian Munch on the Couch,1881,Location unknown,," carton, oil",25 x 22,33.jpg
34,Study of a Landscape,1881,Location unknown,," carton, oil","25,5 x 21,5",34.jpg
35,View of Grüner's Garden,1881,Private collection,,"unprimed carton, oil","22 x 29,5",35.jpg
36,Gamle Aker Church,1881–82,Private collection,," carton, oil","33 x 46,5",36.jpg
37,Gamle Aker Church,1881,"Munch Museum, Oslo, Norway",," carton, oil",16 x 21,37.jpg
38,Gamle Aker Church,1881,"Munch Museum, Oslo, Norway",," carton, oil",21 x 16,38.jpg
39,Gamle Aker Church,1881,Private Collection,,"paper, oil","26 x 20,5",39.jpg
40,View from Fossveien 7 towards Bergfjerdingen,1881,"Munch Museum, Oslo, Norway",,"paper, oil",22 x 28,40.jpg
41,People on the Road in Wet Snow,1881,Private Collection,,"paper, oil","13 x 19,5",41.jpg
42,Goblin with Christmas Porridge,1881,Peder Andreas Lund,,"wood panel, oil","15,5 x 21",42.jpg
43,"Still Life with Jar, Apple, Walnut and Coconut",1881,"Munch Museum, Oslo, Norway",,"primed carton, oil",18 x 20,43.jpg
44,Øvre Foss in Winter,1881–82,Location unknown,,"paper applied to carton, oil","18,5 x 20",44.jpg
45,Boy in Snow,1881–82,"The World Children's Art Museum, Okazaki, Japan",,"paper, oil","10 x 3,5",45.jpg
46,View of the City on a Winter's Day,1882,Location Unknown,," carton, oil","18,5 x 23,5",46.jpg
47,Self-Portrait,1882,"Munch Museum, Oslo, Norway",,"paper applied to carton, oil",26 x 19,47.jpg
48,Laura Munch,1882,"Munch Museum, Oslo, Norway",,"unprimed carton, oil",18 x 15,48.jpg
49,Laura Munch,1882,"Munch Museum, Oslo, Norway",,"paper, oil","23,5 x 18",49.jpg
50,Olaf Rye's Square towards South East,1882,Location unknown,," carton, oil","22 x 29,5",50.jpg
51,View across Olaf Rye's Square,1882,Private collection,,"paper, oil",35 x 28,51.jpg
52,Olaf Rye's Square towards South East,1882,"Munch Museum, Oslo, Norway",,"unprimed carton, oil","20,5 x 24",52.jpg
53,Landscape with Waterfall and House,1882,Location unknown,,"carton (?), oil",21 x 16,53.jpg
54,Evening Atmosphere at Sea,1882,"Munch Museum, Oslo, Norway",," carton, oil","21 x 23,5",54.jpg
55,Landscape with a Small Waterfall,1882,Erik M. Vik,,"unprimed carton, oil","26,5 x 20,5",55.jpg
56,Spring Landscape,1882,Private collection,," carton, oil","21,5 x 19,5",56.jpg
57,Stream in Spring,1882,Private collection,," carton, oil",27 x 35,57.jpg
58,Karen Bjølstad,1882–83,Location unknown,," carton, oil",21 x 16,58.jpg
59,Man's Head with Beard,1882–83,"Munch Museum, Oslo, Norway",,"unprimed carton, oil","43,5 x 35",59.jpg
60,The Errand Boy,1882–84,Private collection,," carton, oil","34,5 x 29",60.jpg
61,Garden with Red House,1882,Private collection,," carton, oil","23 x 30,5",61.jpg
62,Garden with Red House,1882,Private collection,," carton, oil","46,5 x 57",62.jpg
63,By the Garden Table,1882,Location unknown,," carton, oil","58 x 46,5",63.jpg
64,Akerselva by Slåmotgangen,1882,Private collection,," carton, oil","27,5 x 39",64.jpg
65,Inger by the Window,1882,Private collection,," carton, oil","39 x 27,5",65.jpg
66,Akerselva by Nedre Foss,1882,Location unknown,," carton, oil","38,5 x 60,5",66.jpg
67,Akerselva,1882,"Munch Museum, Oslo, Norway",,"unprimed carton, oil",24 x 31,67.jpg
68,Birch Trees with Woman Walking,1882,Location Unknown,," carton, oil","29,5 x 22",68.jpg
69,Birch Trees in the Autumn,1882,Private collection,," carton, oil",39 x 31,69.jpg
70,From Vestre Aker,1882,Location unknown,," carton, oil","29,5 x 25,5",70.jpg
71,Birch Trees and Man Carrying Twigs,1882,Location unknown,,?,36 x 29,71.jpg
72,Autumn in Vestre Aker,1882,Private collection,," carton, oil","28 x 22,5",72.jpg
73,Woman on a Country Lane,1882,Private collection,," carton, oil","31,5 x 24,5",73.jpg
74,Two Boys on a Country Lane,1882,Location unknown,," carton, oil",32 x 25,74.jpg
75,Thorvald Torgersen,1882,"National Gallery, Oslo, Norway",," carton, oil","35,5 x 28",75.jpg
76,Thorvald Torgersen,1882,Private collection,," carton, oil","38 x 28,5",76.jpg
77,Head of a Boy,1882–83,"Katharina and Nathan Bernstein, New York",," carton, oil",40 x 27,77.jpg
78,Andreas Reading,1882–83,Location unknown,,"unprimed carton, oil",57 x 48,78.jpg
79,Andreas Reading,1882–83,Location unknown,," carton, oil",36 x 29,79.jpg
80,Andreas Reading,1882–83,"National Gallery, Oslo, Norway",," carton, oil","51,5 x 35,5",80.jpg
81,Self-Portrait,1882–83,"Oslo City Museum, Norway",,"unprimed carton, oil","43,5 x 35,5",81.jpg
82,Drive at Vaterland,1882–83,"Munch Museum, Oslo, Norway",," carton, oil","47 x 63,5",82.jpg
83,From Saxegårdsgate,1882?,"Lillehammer Art Museum, Norway. Oscar Johannessen's collection",," carton, oil","35,5 x 55",83.jpg
84,Laura Munch,1883,"Munch Museum, Oslo, Norway",,"canvas, oil",26 x 21,84.jpg
85,Otto Linthoe,1883,"Munch Museum, Oslo, Norway",,"unprimed carton, oil","62,5 x 49,5",85.jpg
86,Study of a Man's Head,1883,Private Collection,,"canvas, oil",45 x 32,86.jpg
87,Study of an Old Man's Head,1883,"Private collection, Switzerland",,"canvas, oil",44 x 35,87.jpg
88,Head of an Old Man with Beard,1883,Private collection,," carton, oil",46 x 33,88.jpg
89,Study of an Old Man's Head,1883,Burton Kassell,,"canvas, oil",35 x 24,89.jpg
90,Afternoon at Olaf Rye's Square,1883,"Moderna Museet, Stockholm",," carton, oil","47,5 x 25,5",90.jpg
91,"Street Corner on Karl Johan, Grand Café",1883,"Munch Museum, Oslo, Norway",,"canvas, oil",36 x 28,91.jpg
92,Christian Munch on the Couch,1883,"Munch Museum, Oslo, Norway",,"canvas, oil","38,5 x 32,5",92.jpg
93,Landscape from Asker,1883–84,Location unknown,," carton, oil",37 x 62,93.jpg
94,Autumn in Asker,1883–84,Location unknown,," carton, oil",37 x 62,94.jpg
95,Andreas by the Window,1883,"The Art Museums in Bergen, Norway. Bergen Art Museum (Rasmus Meyer's collection)",,"unprimed canvas, oil",50 x 41,95.jpg
96,Andreas Reading,1883,Private collection,,"canvas, oil","25,5 x 31",96.jpg
97,The Dome of Trinity Church,1883–84,Private Collection,," carton, oil","45,5 x 23,5",97.jpg
98,Study of a Head,1883,"National Gallery, Oslo, Norway",,"canvas, oil","60,5 x 46,5",98.jpg
99,Early in the Morning,1883,Private Collection,,"canvas, oil","96,5 x 66",99.jpg
100,Andreas Singdahlsen,1883,"Munch Museum, Oslo, Norway",,"canvas, oil",45 x 34,100.jpg
101,Hjalmar Borgstrøm,1883,Private Collection,,"canvas, oil","24,5 x 20",101.jpg
102,Portrait of a Woman,1883–84,Location unknown,,"canvas, oil","37,5 x 27,5",102.jpg
103,Karen Bjølstad in the Rocking Chair,1883,"Munch Museum, Oslo, Norway",,"canvas, oil","47,5 x 41",103.jpg
104,Around the Paraffin Lamp,1883,"National Gallery, Oslo, Norway",,"wood panel, oil","27 x 39,5",104.jpg
105,At the Coffee Table,1883,"Munch Museum, Oslo, Norway",,"canvas, oil","45 x 77,5",105.jpg
106,At Supper,1883–84,"Munch Museum, Oslo, Norway",,"canvas, oil","49 x 59,5",106.jpg
107,The Infirmary at Helgelandsmoen,1884,"Munch Museum, Oslo, Norway",," carton, oil","67 x 58,5",107.jpg
108,Fence in the Forest,1884,Location unknown,,"canvas, oil","36,5 x 51,5",108.jpg
109,Two People on the Way to the Forest,1884,Private collection,,"canvas, oil","46 x 55,5",109.jpg
110,Morning,1884,"The Art Museums in Bergen, Norway. Bergen Art Museum (Rasmus Mayer's collection)",,"canvas, oil","96,5 x 103,5",110.jpg
111,Christian Munch,1884,Private collection,," carton, oil",46 x 34,111.jpg
112,Portrait Studies,1884?,Location unknown,," carton, oil",46 x 34,112.jpg
113,Inger Munch in Black,1884,"National Gallery, Oslo, Norway",,"canvas, oil",97 x 67,113.jpg
114,Street in Winter,1885,Private collection,,"canvas, oil",38 x 28,114.jpg
115,Ball,1885,Private collection,,"panel, oil",29 x 39,115.jpg
116,Tête-à-tête,1885,"Munch Museum, Oslo, Norway",,"canvas, oil",66 x 76,116.jpg
117,Karl Johan,1885–86,"Paleet, Oslo, Norway",," carton, oil","38 x 42,5",117.jpg
118,Girl's Head,1885,Private collection,,"canvas, oil",34 x 28,118.jpg
119,Dagny Konow,1885,"Blomqvist Art Dealer, Oslo, Norway",,"canvas, oil",50 x 35,119.jpg
120,Study of an Old Man's Head,1885–86,"Stenersen Museum, Oslo, Norway. A gift from Rolf E. Stenersen to the city of Oslo",,"unprimed canvas, oil","31,5 x 22",120.jpg
121,Fredrik Lidemark,1885,Private collection,,"canvas, oil",198 x 110,121.jpg
122,Karl Jensen-Hjell,1885,Private collection,,"canvas, oil",190 x 100,122.jpg
123,Klemens Stang,1885–86,"Sørlandets Art Museum, Kristiansand, Norway",,"canvas, oil","87,5 x 67,5",123.jpg
124,Christian Munch with Pipe,1885,"Munch Museum, Oslo, Norway",,"canvas, oil","37,5 x 28",124.jpg
